Ensembl_ID	UniProt	Gene_symbol	CHR	start_pos	end_pos
ENSG00000198888	P03886	MT-ND1	MT	3307	4262
ENSG00000198763	P03891	MT-ND2	MT	4470	5511
ENSG00000198804	P00395	MT-CO1	MT	5904	7445
ENSG00000198712	P00403	MT-CO2	MT	7586	8269
ENSG00000228253	P03928	MT-ATP8	MT	8366	8572
ENSG00000198899	P00846	MT-ATP6	MT	8527	9207
ENSG00000198938	P00414	MT-CO3	MT	9207	9990
ENSG00000198840	P03897	MT-ND3	MT	10059	10404
ENSG00000212907	P03901	MT-ND4L	MT	10470	10766
ENSG00000198886	P03905	MT-ND4	MT	10760	12137
ENSG00000198786	P03915	MT-ND5	MT	12337	14148
ENSG00000198695	P03923	MT-ND6	MT	14149	14673
ENSG00000198727	P00156	MT-CYB	MT	14747	15887
ENSG00000278704			GL000009.2	56140	58376
ENSG00000271254			KI270711.1	4612	29626
ENSG00000277196			KI270734.1	138082	161852
ENSG00000278817			KI270734.1	131494	137392
ENSG00000276017			KI270734.1	72411	74814
ENSG00000277630			GL000213.1	108007	139659
ENSG00000276256			GL000195.1	42939	49164
ENSG00000278384			GL000218.1	51867	54893
ENSG00000268674	P0DMU3		KI270713.1	35407	35916
ENSG00000277475			KI270713.1	31698	32528
ENSG00000275063	P0DP08		KI270726.1	41444	41876
ENSG00000277856			KI270726.1	26241	26534
ENSG00000277400	Q8WZ33		GL000194.1	53590	115018
ENSG00000274847		MAFIP	GL000194.1	53594	115055
ENSG00000276345			KI270721.1	2585	11802
ENSG00000274175			KI270728.1	17234	19833
ENSG00000273554			KI270728.1	1139577	1147868
ENSG00000273748			GL000219.1	54224	83311
ENSG00000275869			KI270728.1	933862	936467
ENSG00000277836			KI270728.1	1270984	1271271
ENSG00000278633			KI270731.1	10598	13001
ENSG00000281766	Q8N488	RYBP	HG126_PATCH	49076	122044
ENSG00000288269		GCGR	HG1320_PATCH	17625	27501
ENSG00000288269	P47871	GCGR	HG1320_PATCH	17625	27501
ENSG00000291368	P10323	ACR	HG1311_HG2539_PATCH	74316	81453
ENSG00000291368		ACR	HG1311_HG2539_PATCH	74316	81453
ENSG00000291362	Q9H7E9	C8orf33	HG1047_PATCH	9906	24126
ENSG00000292254		SHANK3	HG1311_HG2539_PATCH	8917	69331
ENSG00000291362		C8orf33	HG1047_PATCH	9906	24126
ENSG00000281934	O60813	PRAMEF11	HG1342_HG2282_PATCH	6118	12923
ENSG00000288213	C9JLW8	MCRIP1	HG1320_PATCH	35854	46795
ENSG00000282175	O60812	HNRNPCL1	HG1342_HG2282_PATCH	28921	30238
ENSG00000282817	O60811	PRAMEF2	HG1342_HG2282_PATCH	38599	43422
ENSG00000288213		MCRIP1	HG1320_PATCH	35854	46795
ENSG00000282584	O60810	PRAMEF4	HG1342_HG2282_PATCH	60725	67714
ENSG00000282663	O60809	PRAMEF10	HG1342_HG2282_PATCH	74409	79783
ENSG00000279195	Q5VXH5	PRAMEF7	HG1342_HG2282_PATCH	98123	101995
ENSG00000288186	Q86WC6	PPP1R27	HG1320_PATCH	46985	48543
